case_id,round,layer,category,priority,lang,sources,req_types,target,suggested_executor,executor,status,verdict,failure_category,llm_model,executed_at,reviewer,reviewed_at,screenshot_count,completeness_pct,issue_count,updated_at
ss_huggingface_001,1,single_source,dataset,P0,EN,huggingface,dataset,检索 robot grasp dataset,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:27:56+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_huggingface_002,1,single_source,policy,P0,ZH,huggingface,policy_model,检索 ACT 机器人操作策略,C,C,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T16:08:44+08:00,,,0,96.3,3,2026-08-23T01:38:39+08:00
ss_huggingface_003,1,single_source,code,P1,EN,huggingface,code,检索机器人操作代码仓库,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:09:48+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_huggingface_004,1,single_source,dataset,P1,ZH,huggingface,dataset,检索 robot manipulation 数据集,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:35:23+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_huggingface_005,1,single_source,policy,P1,ZH,huggingface,policy_model,检索灵巧操作策略权重,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:36:06+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_zenodo_001,1,single_source,dataset,P1,EN,zenodo,dataset,检索 robot grasp dataset,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:36:41+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_zenodo_002,1,single_source,sensor,P2,ZH,zenodo,sensor_data,检索机械臂关节数据,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:37:21+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_zenodo_003,1,single_source,dataset,P1,ZH,zenodo,dataset,检索机器人操作仿真数据集,C,C,已判定,PASS,,qwen-plus,2026-08-20T16:17:17+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_zenodo_004,1,single_source,sensor,P2,EN,zenodo,sensor_data,检索机械臂力觉传感器数据,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:38:28+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_zenodo_005,1,single_source,dataset,P1,EN,zenodo,dataset,检索抓取姿态标注数据集,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:38:59+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_paperswithcode_001,1,single_source,paper,P1,EN,paperswithcode,paper,检索 grasp detection 相关论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:22:15+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_paperswithcode_002,1,single_source,end_to_end,P1,EN,paperswithcode,paper;code,检索 grasp detection 论文及其代码,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:10:50+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_paperswithcode_003,1,single_source,paper,P2,ZH,paperswithcode,paper,检索机器人抓取论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:23:45+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_ieee_001,1,single_source,paper,P2,EN,ieee,paper,检索 robot grasping 的论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:21:45+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_dexgrasp_001,1,single_source,grasp,P1,ZH,dexgrasp,grasp,获取 banana 的 DexGrasp 抓取文件,C,C,已判定,FAIL,P6_VALIDATE,qwen-plus,2026-08-20T16:12:54+08:00,,,0,96.3,2,2026-08-23T01:38:39+08:00
ss_dexgrasp_002,1,single_source,grasp,P1,EN,dexgrasp,grasp,获取 apple 的 DexGrasp 抓取文件,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:41:43+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_dexgrasp_003,1,single_source,grasp,P1,EN,dexgrasp,grasp,获取 mug 的 DexGrasp 抓取文件,C,C,已判定,FAIL,P6_VALIDATE,qwen-plus,2026-08-20T16:13:59+08:00,,,0,96.3,2,2026-08-23T01:38:39+08:00
ss_dexgrasp_004,1,single_source,grasp,P2,EN,dexgrasp,grasp,获取 bottle 的 DexGrasp 抓取文件,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:43:13+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_dexgrasp_005,1,single_source,grasp,P2,EN,dexgrasp,grasp,获取 scissors 的 DexGrasp 抓取文件,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:43:41+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_graspnet_001,1,single_source,dataset,P1,ZH,graspnet,dataset,检索 GraspNet 数据集,C,C,已判定,PASS,,qwen-plus,2026-08-20T16:11:49+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_graspnet_002,1,single_source,grasp,P0,EN,graspnet,grasp,获取 banana 的单个 grasp 文件,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:40:11+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_franka_001,1,single_source,robot_urdf,P0,ZH,franka,robot_urdf,获取 Franka Panda 机器人的 URDF 模型,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:40:47,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_franka_002,1,single_source,robot_urdf,P1,ZH,franka,robot_urdf,我需要 Franka Panda 的完整 URDF 模型，包含碰撞网格与视觉网格,D,D,已判定,PASS,,qwen-plus,2026-08-20T15:42:25,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_franka_003,1,single_source,robot_urdf,P2,ZH,franka,robot_urdf,我要用 Franka Panda 做抓取仿真，先把它的模型文件给我,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:44:37,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_robotiq_001,1,single_source,robot_urdf,P0,ZH,robotiq,robot_urdf,获取 Robotiq 2F-85 夹爪的 URDF 模型,D,D,已判定,PASS,,qwen-plus,2026-08-20T16:27:16,,,0,96.0,6,2026-08-23T01:38:39+08:00
ss_robotiq_002,1,single_source,robot_urdf,P1,ZH,robotiq,robot_urdf,获取 Robotiq 2F-85 夹爪 URDF，并确认其手指开合参数,D,D,已判定,PASS,,qwen-plus,2026-08-20T16:30:29,,,0,96.0,6,2026-08-23T01:38:39+08:00
ss_robotiq_003,1,single_source,robot_urdf,P2,ZH,robotiq,robot_urdf,抓取实验要装 Robotiq 夹爪，我需要它的模型,D,D,已判定,PASS,,qwen-plus,2026-08-20T16:34:29,,,0,96.0,6,2026-08-23T01:38:39+08:00
ss_allegro_001,1,single_source,robot_urdf,P1,ZH,allegro,robot_urdf,获取 Allegro Hand 灵巧手的 URDF 模型,D,D,已判定,PASS,,qwen-plus,2026-08-20T15:35:16,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_allegro_002,1,single_source,robot_urdf,P1,ZH,allegro,robot_urdf,获取 Allegro Hand 的 URDF，需要包含 4 指 16 关节定义,D,D,已判定,PASS,,qwen-plus,2026-08-20T15:37:14,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_allegro_003,1,single_source,robot_urdf,P2,ZH,allegro,robot_urdf,灵巧手做抓取，帮我找 Allegro 手的模型文件,D,D,已判定,PASS,,qwen-plus,2026-08-20T15:38:40,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_google_scanned_001,1,single_source,mesh,P1,ZH,google_scanned,mesh,获取 Google Scanned Objects 数据集中的任意一个物体 mesh 模型,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T15:51:34,,,0,96.3,5,2026-08-23T01:38:39+08:00
ss_google_scanned_002,1,single_source,mesh,P1,ZH,google_scanned,mesh,获取 Google Scanned Objects 中的水壶（kettle）mesh 模型,D,D,已判定,PASS,,qwen-plus,2026-08-20T15:54:21,,,0,96.0,6,2026-08-23T01:38:39+08:00
ss_google_scanned_003,1,single_source,mesh,P2,ZH,google_scanned,mesh,获取 Google Scanned Objects 中大体积物体的 mesh（验证下载超时/失败降级路径）,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T16:01:53,,,0,96.3,5,2026-08-23T01:38:39+08:00
ss_mujoco_001,1,single_source,sim_config,P0,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 Franka Panda 的 MuJoCo 场景配置,D,D,已判定,PASS,,qwen-plus,2026-08-20T16:07:55,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_mujoco_002,1,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 Franka Panda 的抓取操作场景配置,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:12:57,,,0,96.0,3,2026-08-23T01:38:39+08:00
ss_mujoco_003,1,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 UR5e 机器人的 MuJoCo 场景配置,D,D,已判定,FAIL,P4,qwen-plus,2026-08-20T16:17:30,,,0,96.3,4,2026-08-23T01:38:39+08:00
ss_mujoco_004,1,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中的厨房（Kitchen）场景配置,D,D,已判定,FAIL,P4,qwen-plus,2026-08-20T16:20:17,,,0,96.3,4,2026-08-23T01:38:39+08:00
ss_mujoco_005,1,single_source,sim_config,P2,ZH,mujoco,sim_config,我要在 MuJoCo 里搭 Franka 的仿真环境，帮我找场景配置文件,D,D,已判定,PASS,,qwen-plus,2026-08-20T16:24:30,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_isaac_001,1,single_source,sim_config,P1,ZH,isaac,sim_config,获取 Isaac Sim 中 Franka Panda 的仿真场景配置（允许最小 MJCF fallback）,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:03:38,,,0,96.0,3,2026-08-23T01:38:39+08:00
ss_isaac_002,1,single_source,sim_config,P1,ZH,isaac,sim_config,获取 Isaac Sim 场景配置（验证无真实场景时的失败可追溯性）,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:05:23,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_ycb_001,1,single_source,mesh,P0,ZH,ycb,mesh,获取 YCB 数据集中的香蕉（banana）mesh 模型,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T16:42:40,,,0,96.3,11,2026-08-23T01:38:39+08:00
ss_ycb_002,1,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的苹果（apple）mesh 模型,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T16:52:38,,,0,96.3,11,2026-08-23T01:38:39+08:00
ss_ycb_003,1,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的马克杯（mug）mesh 模型,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T17:30:41,,,0,96.0,5,2026-08-23T01:38:39+08:00
ss_ycb_004,1,single_source,grasp,P1,EN,ycb,grasp,获取 banana 的 grasp 数据,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:44:14+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_ycb_005,1,single_source,grasp,P1,EN,ycb,grasp,获取 mug 的 grasp 数据,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:44:47+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ms_001,1,multi_source,end_to_end,P0,EN,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,Franka Panda grasps YCB banana in MuJoCo,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-21T22:34:04,,,0,96.3,2,2026-08-23T01:38:39+08:00
ms_002,1,multi_source,end_to_end,P0,ZH,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,我想在 MuJoCo 里用 Franka Panda 机器人抓取 YCB 香蕉,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-21T22:44:58,,,0,96.3,2,2026-08-23T01:38:39+08:00
ms_003,1,multi_source,end_to_end,P1,EN,github;isaac,robot_urdf;mesh;sim_config,Kinova Gen3 picks up EGAD mug in Isaac Sim,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-20T15:31:09,,,0,96.3,4,2026-08-23T01:38:39+08:00
ms_004,1,multi_source,end_to_end,P1,EN,github;robotiq;ycb,robot_urdf;mesh;grasp,UR5 with Robotiq 2F-85 grasps YCB apple,E,E,已判定,FAIL,P3_SOURCE,qwen-plus,2026-08-20T19:22:13+08:00,,,3,100.0,11,2026-08-23T01:38:39+08:00
ms_005,1,multi_source,end_to_end,P1,EN,franka;ycb,robot_urdf;mesh,Franka Panda stacks YCB blocks in PyBullet,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:15:52+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ms_006,1,multi_source,end_to_end,P1,ZH,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,用 Franka 在 MuJoCo 里抓取香蕉（无 YCB 关键词）,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-21T22:54:57,,,0,96.3,2,2026-08-23T01:38:39+08:00
ms_007,1,multi_source,end_to_end,P1,ZH,ycb;graspnet;dexgrasp,mesh;grasp,抓取 YCB 香蕉（未指定仿真器）,E,E,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-14T17:00:50+08:00,A,2026-08-17T23:17:17+08:00,4,100.0,4,2026-08-23T01:38:39+08:00
ms_008,1,multi_source,end_to_end,P1,EN,franka;mujoco;github,robot_urdf,只要 Franka Panda 的 URDF,F,F+A,已复核,FAIL,P2_RETRIEVE,qwen-plus,2026-08-18T20:00:31+08:00,A,2026-08-18T21:36:00+08:00,5,100.0,0,2026-08-23T01:38:39+08:00
ss_kinova_001,2,single_source,robot_urdf,P0,ZH,kinova,robot_urdf,获取 Kinova Gen3 机械臂的 URDF 模型,A,A,已判定,FAIL,P4_FORMAT,qwen3.7-plus,2026-08-22T09:07:19,,,6,100.0,1,2026-08-23T01:38:39+08:00
ss_kinova_002,2,single_source,robot_urdf,P1,ZH,kinova,robot_urdf,获取 Kinova Gen3 Lite 机械臂 URDF，并确认其自由度,C,C,已判定,PASS_WITH_FALLBACK,,qwen-turbo,2026-08-21T10:29:51+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_kinova_003,2,single_source,robot_urdf,P1,ZH,kinova,robot_urdf,帮我找 Kinova 协作机械臂的 URDF 文件,D,D,已判定,FAIL,P4_FORMAT,qwen-plus,2026-08-21T18:52:03+08:00,,,0,96.3,3,2026-08-23T01:38:39+08:00
ss_kinova_004,2,single_source,robot_urdf,P2,EN,kinova,robot_urdf,获取 Kinova Gen3 的 URDF 并与 Franka Panda 对比关节数,E,E,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T10:02:00+08:00,,,3,96.0,10,2026-08-23T01:38:39+08:00
ss_allegro_004,2,single_source,robot_urdf,P1,ZH,allegro,robot_urdf,获取 Allegro 灵巧手的 URDF，并确认其 16 个关节是否齐全,F,F,已判定,PASS,,deepseek-chat,2026-08-22T18:54:11+08:00,,,3,100.0,9,2026-08-23T01:38:39+08:00
ss_allegro_005,2,single_source,robot_urdf,P2,ZH,allegro,robot_urdf,我要在仿真里用 Allegro 手抓物体，帮我找它的 URDF 模型,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-22T07:51:52,,,5,100.0,2,2026-08-23T01:38:39+08:00
ss_allegro_006,2,single_source,robot_urdf,P2,EN,allegro,robot_urdf,Allegro hand URDF with 4-finger tactile layout,C,C,已判定,PASS_WITH_FALLBACK,,qwen-turbo,2026-08-21T10:30:07+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_isaac_003,2,single_source,sim_config,P1,ZH,isaac,sim_config,获取 Isaac Sim 中 UR5 的仿真场景配置,D,D,已判定,FAIL,P4_FORMAT,qwen-plus,2026-08-21T17:55:40+08:00,,,0,96.3,4,2026-08-23T01:38:39+08:00
ss_isaac_004,2,single_source,sim_config,P2,ZH,isaac,sim_config,我要在 Isaac Sim 里搭抓取环境，帮我找场景配置,E,E,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T09:34:43+08:00,,,3,96.0,5,2026-08-23T01:38:39+08:00
ss_isaac_005,2,single_source,sim_config,P2,EN,isaac,sim_config,Isaac Sim kitchen environment config for robot manipulation,F,F,已判定,FAIL,P1_RETRIEVAL,deepseek-chat,2026-08-22T18:54:58+08:00,,,3,96.3,6,2026-08-23T01:38:39+08:00
ss_graspnet_003,2,single_source,grasp,P1,ZH,graspnet,grasp,获取 GraspNet-1Billion 中物体 camera_0 的抓取数据,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-22T08:57:00,,,5,100.0,2,2026-08-23T01:38:39+08:00
ss_graspnet_004,2,single_source,grasp,P2,ZH,graspnet,grasp,我要做抓取规划，帮我找 GraspNet 数据集的抓取标签,C,C,已判定,FAIL,P1_PARSE,qwen-turbo,2026-08-21T10:40:43+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_mujoco_006,2,single_source,sim_config,P1,ZH,mujoco,sim_config,我要在 MuJoCo 里搭建 Franka 抓取场景，帮我找场景配置,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T20:51:27+08:00,,,0,96.0,4,2026-08-23T01:38:39+08:00
ss_mujoco_007,2,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 MuJoCo 中 UR5 机械臂搭配物体抓取的任务场景配置,E,E,已判定,FAIL,P3_SOURCE,qwen-plus,2026-08-22T10:16:57+08:00,,,4,96.3,5,2026-08-23T01:38:39+08:00
ss_mujoco_008,2,single_source,sim_config,P2,EN,mujoco,sim_config,MuJoCo tabletop manipulation scene with a single object,F,F,已判定,FAIL,P3_SOURCE,deepseek-chat,2026-08-22T18:57:46+08:00,,,3,100.0,6,2026-08-23T01:38:39+08:00
ss_mujoco_009,2,single_source,sim_config,P2,ZH,mujoco,sim_config,获取一个不含机械臂、只有物体的 MuJoCo 仿真场景,A,A,已判定,FAIL,P3_SOURCE,qwen3.7-plus,2026-08-22T09:16:02,,,4,100.0,1,2026-08-23T01:38:39+08:00
ss_graspnet_005,2,single_source,dataset,P2,EN,graspnet,dataset,获取 GraspNet-1Billion 数据集的说明和目录结构,C,C,已判定,FAIL,P3_SOURCE,qwen-turbo,2026-08-21T10:41:05+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_ieee_002,2,single_source,paper,P1,ZH,ieee,paper,检索机械臂抓取相关的 IEEE 论文,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T17:33:00+08:00,,,0,96.0,4,2026-08-23T01:38:39+08:00
ss_ieee_003,2,single_source,paper,P2,ZH,ieee,paper,检索机器人灵巧操作的 IEEE 综述论文,E,E,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T09:27:06+08:00,,,3,100.0,4,2026-08-23T01:38:39+08:00
ss_ieee_004,2,single_source,paper,P2,EN,ieee,paper,IEEE papers on 6-DOF grasp pose estimation,F,F,已判定,FAIL,P1_RETRIEVAL,deepseek-chat,2026-08-22T18:58:06+08:00,,,3,96.3,6,2026-08-23T01:38:39+08:00
ss_google_scanned_004,2,single_source,mesh,P1,ZH,google_scanned,mesh,获取 Google Scanned Objects 中的椅子（chair）mesh 模型,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-22T08:40:02,,,6,100.0,1,2026-08-23T01:38:39+08:00
ss_google_scanned_005,2,single_source,mesh,P2,ZH,google_scanned,mesh,获取 Google Scanned Objects 中一个杯子的 mesh 模型用于仿真,C,C,已判定,FAIL,P3_SOURCE,qwen-turbo,2026-08-21T10:44:39+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_google_scanned_006,2,single_source,mesh,P2,EN,google_scanned,mesh,Retrieve any object mesh from Google Scanned Objects for MuJoCo tabletop,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T17:05:59+08:00,,,0,96.0,4,2026-08-23T01:38:39+08:00
ss_franka_004,2,single_source,robot_urdf,P1,ZH,franka,robot_urdf,帮我找 Franka Panda 的 URDF，并确认末端抓爪型号,E,E,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T09:17:40+08:00,,,3,96.0,8,2026-08-23T01:38:39+08:00
ss_franka_005,2,single_source,robot_urdf,P2,EN,franka,robot_urdf,Franka Panda URDF with 7-DOF joint limits,F,F,已判定,PASS_WITH_FALLBACK,,deepseek-chat,2026-08-22T19:04:33+08:00,,,3,100.0,12,2026-08-23T01:38:39+08:00
ss_robotiq_004,2,single_source,robot_urdf,P1,EN,robotiq,robot_urdf,获取 Robotiq 2F-85 夹爪 URDF 用于 MoveIt 规划,A,A,已判定,PASS_WITH_FALLBACK,,qwen3.7-plus,2026-08-22T09:29:40,,,4,100.0,0,2026-08-23T01:38:39+08:00
ss_robotiq_005,2,single_source,robot_urdf,P2,ZH,robotiq,robot_urdf,帮我获取 Robotiq 2F-85 夹爪模型文件并转换为 URDF,C,C,已判定,PASS,,qwen-turbo,2026-08-21T10:34:37+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_arxiv_006,2,single_source,paper,P2,ZH,arxiv,paper,检索机器人抓取的 arXiv 论文（中文描述）,D,D,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-21T14:24:16+08:00,,,0,96.0,3,2026-08-23T01:38:39+08:00
ss_arxiv_007,2,single_source,paper,P2,EN,arxiv,paper,检索 robot learning manipulation 领域的 arXiv 最新论文 2 篇,E,E,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-21T08:58:38+08:00,,,3,100.0,5,2026-08-23T01:38:39+08:00
ss_huggingface_006,2,single_source,dataset,P2,ZH,huggingface,dataset,帮我找 Hugging Face 上的机器人操作数据集（中文描述）,F,F,已判定,FAIL,P2_FORMAT,deepseek-chat,2026-08-22T19:06:05+08:00,,,3,96.3,6,2026-08-23T01:38:39+08:00
ss_github_006,2,single_source,code,P2,ZH,github,code,帮我找一个机械臂控制的 GitHub 开源项目（中文描述）,A,A,已判定,FAIL,P4_FORMAT,qwen3.7-plus,2026-08-22T08:25:00,,,5,100.0,3,2026-08-23T01:38:39+08:00
ss_zenodo_006,2,single_source,dataset,P2,ZH,zenodo,dataset,帮我找 Zenodo 上机器人抓取数据集（中文描述）,C,C,已判定,FAIL,P4_FORMAT,qwen-turbo,2026-08-21T10:34:45+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_dexgrasp_006,2,single_source,grasp,P2,ZH,dexgrasp,grasp,帮我找 DexGraspNet 数据集的抓取标注（中文描述）,D,D,已判定,FAIL,P3_SOURCE,qwen-plus,2026-08-21T15:11:34+08:00,,,0,96.3,6,2026-08-23T01:38:39+08:00
ss_ycb_006,2,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的瓶子（bottle）mesh 模型,E,E,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-22T10:28:48+08:00,,,3,96.0,5,2026-08-23T01:38:39+08:00
ss_ycb_007,2,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的香蕉 mesh 模型并确认是闭合流形,F,F,已判定,PASS,,deepseek-chat,2026-08-22T19:08:28+08:00,,,3,100.0,6,2026-08-23T01:38:39+08:00
ss_zenodo_007,2,single_source,dataset,P2,EN,zenodo,dataset,Find a robotic arm joint sensor dataset on Zenodo,A,A,已判定,FAIL,P2_RETRIEVE,qwen3.7-plus,2026-08-22T09:51:57,,,5,100.0,2,2026-08-23T01:38:39+08:00
ss_sensor_github_001,2,single_source,sensor,P1,ZH,github,sensor_data,帮我找 GitHub 上的机械臂关节力矩传感器数据,C,C,已判定,PASS_WITH_FALLBACK,,qwen-turbo,2026-08-21T10:34:54+08:00,,,5,100.0,0,2026-08-23T01:38:39+08:00
ss_sensor_github_002,2,single_source,sensor,P2,EN,github,sensor_data,Find joint position/velocity sensor log data on GitHub,D,D,已判定,FAIL,P2_RETRIEVE,qwen-plus,2026-08-21T21:23:14+08:00,,,0,96.3,5,2026-08-23T01:38:39+08:00
ss_sensor_zenodo_001,2,single_source,sensor,P1,ZH,zenodo,sensor_data,帮我找 Zenodo 上的 IMU 传感器数据,E,E,已判定,FAIL,P4_FORMAT,qwen-plus,2026-08-22T10:25:38+08:00,,,4,96.3,5,2026-08-23T01:38:39+08:00
