case_id,layer,category,priority,lang,sources,req_types,target,suggested_executor,executor,status,verdict,failure_category,llm_model,executed_at,reviewer,reviewed_at,screenshot_count,completeness_pct,issue_count,updated_at
ss_paperswithcode_002,single_source,end_to_end,P1,EN,paperswithcode,paper;code,检索 grasp detection 论文及其代码,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:34:16,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_paperswithcode_003,single_source,paper,P2,ZH,paperswithcode,paper,检索机器人抓取论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:29:10,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ieee_001,single_source,paper,P2,EN,ieee,paper,检索 robot grasping 的论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:42:28,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_dexgrasp_001,single_source,grasp,P1,ZH,dexgrasp,grasp,获取 banana 的 DexGrasp 抓取文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:37:33,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_dexgrasp_002,single_source,grasp,P1,EN,dexgrasp,grasp,获取 apple 的 DexGrasp 抓取文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:38:05,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_dexgrasp_003,single_source,grasp,P1,EN,dexgrasp,grasp,获取 mug 的 DexGrasp 抓取文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:38:38,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_dexgrasp_004,single_source,grasp,P2,EN,dexgrasp,grasp,获取 bottle 的 DexGrasp 抓取文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:40:46,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_dexgrasp_005,single_source,grasp,P2,EN,dexgrasp,grasp,获取 scissors 的 DexGrasp 抓取文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:41:25,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_graspnet_001,single_source,dataset,P1,ZH,graspnet,dataset,检索 GraspNet 数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:40:29,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_graspnet_002,single_source,grasp,P0,EN,graspnet,grasp,获取 banana 的单个 grasp 文件,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:36:22,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_franka_001,single_source,robot_urdf,P0,ZH,franka,robot_urdf,获取 Franka Panda 机器人的 URDF 模型,D,D,已复核,PASS,,qwen-plus,2026-08-17T11:38:50,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_franka_002,single_source,robot_urdf,P1,ZH,franka,robot_urdf,我需要 Franka Panda 的完整 URDF 模型，包含碰撞网格与视觉网格,D,D,已复核,PASS,,qwen-plus,2026-08-17T11:58:03,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_franka_003,single_source,robot_urdf,P2,ZH,franka,robot_urdf,我要用 Franka Panda 做抓取仿真，先把它的模型文件给我,D,D,已复核,PASS,,qwen-plus,2026-08-17T12:09:21,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_robotiq_001,single_source,robot_urdf,P0,ZH,robotiq,robot_urdf,获取 Robotiq 2F-85 夹爪的 URDF 模型,D,D,已复核,PASS,,qwen-plus,2026-08-17T12:45:17,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_robotiq_002,single_source,robot_urdf,P1,ZH,robotiq,robot_urdf,获取 Robotiq 2F-85 夹爪 URDF，并确认其手指开合参数,D,D,已复核,PASS,,qwen-plus,2026-08-17T13:17:50,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_robotiq_003,single_source,robot_urdf,P2,ZH,robotiq,robot_urdf,抓取实验要装 Robotiq 夹爪，我需要它的模型,D,D,已复核,PASS,,qwen-plus,2026-08-17T13:35:24,A,2026-08-17T23:17:17+08:00,4,100.0,0,2026-08-20T00:46:52+08:00
ss_allegro_001,single_source,robot_urdf,P1,ZH,allegro,robot_urdf,获取 Allegro Hand 灵巧手的 URDF 模型,D,D,已复核,PASS,,qwen-plus,2026-08-17T07:56:35,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_allegro_002,single_source,robot_urdf,P1,ZH,allegro,robot_urdf,获取 Allegro Hand 的 URDF，需要包含 4 指 16 关节定义,D,D,已复核,PASS,,qwen-plus,2026-08-17T08:01:56,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_allegro_003,single_source,robot_urdf,P2,ZH,allegro,robot_urdf,灵巧手做抓取，帮我找 Allegro 手的模型文件,D,D,已复核,PASS,,qwen-plus,2026-08-17T08:07:07,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_google_scanned_001,single_source,mesh,P1,ZH,google_scanned,mesh,获取 Google Scanned Objects 数据集中的任意一个物体 mesh 模型,D,D,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-17T08:12:26,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_google_scanned_002,single_source,mesh,P1,ZH,google_scanned,mesh,获取 Google Scanned Objects 中的水壶（kettle）mesh 模型,D,D,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-17T08:16:00,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_google_scanned_003,single_source,mesh,P2,ZH,google_scanned,mesh,获取 Google Scanned Objects 中大体积物体的 mesh（验证下载超时/失败降级路径）,D,D,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-17T08:32:52,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_mujoco_001,single_source,sim_config,P0,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 Franka Panda 的 MuJoCo 场景配置,D,D,已复核,PASS,,qwen-plus,2026-08-14T15:41:15,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_mujoco_002,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 Franka Panda 的抓取操作场景配置,D,C,已复核,PASS,,qwen-plus,2026-08-15T20:11:41,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_mujoco_003,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中 UR5e 机器人的 MuJoCo 场景配置,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:12:13,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_mujoco_004,single_source,sim_config,P1,ZH,mujoco,sim_config,获取 mujoco_menagerie 中的厨房（Kitchen）场景配置,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:12:33,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_mujoco_005,single_source,sim_config,P2,ZH,mujoco,sim_config,我要在 MuJoCo 里搭 Franka 的仿真环境，帮我找场景配置文件,D,C,已复核,PASS,,qwen-plus,2026-08-15T20:12:57,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_isaac_001,single_source,sim_config,P1,ZH,isaac,sim_config,获取 Isaac Sim 中 Franka Panda 的仿真场景配置（允许最小 MJCF fallback）,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:13:29,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_isaac_002,single_source,sim_config,P1,ZH,isaac,sim_config,获取 Isaac Sim 场景配置（验证无真实场景时的失败可追溯性）,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:13:48,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ycb_001,single_source,mesh,P0,ZH,ycb,mesh,获取 YCB 数据集中的香蕉（banana）mesh 模型,D,D,已复核,PASS,,qwen-plus,2026-08-14T15:23:02,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ycb_002,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的苹果（apple）mesh 模型,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:09:15,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ycb_003,single_source,mesh,P1,ZH,ycb,mesh,获取 YCB 数据集中的马克杯（mug）mesh 模型,D,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:10:00,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ycb_004,single_source,grasp,P1,EN,ycb,grasp,获取 banana 的 grasp 数据,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:10:39,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_ycb_005,single_source,grasp,P1,EN,ycb,grasp,获取 mug 的 grasp 数据,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T20:10:53,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_001,multi_source,end_to_end,P0,EN,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,Franka Panda grasps YCB banana in MuJoCo,A,A,已复核,PASS_WITH_FALLBACK,,qwen3.7-plus,2026-08-17T17:36:25+08:00,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_002,multi_source,end_to_end,P0,ZH,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,我想在 MuJoCo 里用 Franka Panda 机器人抓取 YCB 香蕉,A,A,已复核,PASS_WITH_FALLBACK,,qwen3.7-plus,2026-08-17T17:34:45+08:00,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_003,multi_source,end_to_end,P1,EN,github;isaac,robot_urdf;mesh;sim_config,Kinova Gen3 picks up EGAD mug in Isaac Sim,D,D,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-17T12:28:45,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_004,multi_source,end_to_end,P1,EN,github;robotiq;ycb,robot_urdf;mesh;grasp,UR5 with Robotiq 2F-85 grasps YCB apple,E,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:43:16,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_005,multi_source,end_to_end,P1,EN,franka;ycb,robot_urdf;mesh,Franka Panda stacks YCB blocks in PyBullet,C,D,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-17T09:24:16,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ms_006,multi_source,end_to_end,P1,ZH,franka;ycb;mujoco,robot_urdf;mesh;grasp;sim_config,用 Franka 在 MuJoCo 里抓取香蕉（无 YCB 关键词）,A,E,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-16T09:55:19+08:00,A,2026-08-17T23:17:17+08:00,4,100.0,0,2026-08-20T00:46:52+08:00
ms_007,multi_source,end_to_end,P1,ZH,ycb;graspnet;dexgrasp,mesh;grasp,抓取 YCB 香蕉（未指定仿真器）,E,E,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-14T17:00:50+08:00,A,2026-08-17T23:17:17+08:00,4,100.0,0,2026-08-20T00:46:52+08:00
ms_008,multi_source,end_to_end,P1,EN,franka;mujoco;github,robot_urdf,只要 Franka Panda 的 URDF,F,F+A,已复核,FAIL,P2_RETRIEVE,qwen-plus,2026-08-18T20:00:31+08:00,A,2026-08-18T21:36:00+08:00,5,100.0,0,2026-08-20T00:46:52+08:00
